time_s,frequency_hz,delta_frequency_hz,diesel_power_mw,storage_power_mw,storage_soc,power_deficit_mw,diesel_power_mw__diesel_slow,diesel_power_mw__diesel_fast,storage_power_mw__bess_1,storage_power_mw__bess_2,storage_soc__bess_1,storage_soc__bess_2
0,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.02,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.04,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.06,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.08,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.1,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.12,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.14,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.16,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.18,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.2,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.22,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.24,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.26,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.28,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.3,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.32,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.34,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.36,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.38,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.4,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.42,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.44,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.46,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.48,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.5,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.52,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.54,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.56,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.58,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.6,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.62,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.64,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.66,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.68,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.7,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.72,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.74,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.76,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.78,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.8,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.82,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.84,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.86,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.88,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.9,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.92,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.94,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.96,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
0.98,50,0,0,0,0.75,0,0,0,0,0,0.8,0.65
1,50,0,0,0,0.75,2,0,0,0,0,0.8,0.65
1.02,49.975,-0.025,0,0,0.75,2,0,0,0,0,0.8,0.65
1.04,49.9516659,-0.0483340625,0,0.108275,0.749999866,2,0,0,0.081875,0.0264,0.799999848,0.649999902
1.06,49.9296939,-0.0703060698,0.000204730365,0.193700619,0.749999627,2,6.72248958e-05,0.000137505469,0.143908711,0.0497919083,0.799999582,0.649999718
1.08,49.9088612,-0.0911387914,0.000652074887,0.262424135,0.749999303,2,0.000214565653,0.000437509235,0.191670574,0.0707535611,0.799999227,0.649999456
1.1,49.8890028,-0.110997164,0.00132606913,0.318865311,0.74999891,2,0.000437310783,0.000888758349,0.229139883,0.0897254283,0.799998803,0.649999123
1.12,49.8699956,-0.130004434,0.00221280942,0.366208431,0.749998457,2,0.00073138498,0.00148142444,0.259161618,0.107046813,0.799998323,0.649998727
1.14,49.8517463,-0.148253734,0.0032999593,0.406751629,0.749997955,2,0.00109319201,0.00220676729,0.283770041,0.122981588,0.799997797,0.649998271
1.16,49.8341836,-0.165816394,0.00457639192,0.44215705,0.749997409,2,0.00151950108,0.00305689084,0.304420026,0.137737025,0.799997233,0.649997761
1.18,49.8172521,-0.182747915,0.00603193014,0.473630043,0.749996825,2,0.00200736452,0.00402456562,0.322152431,0.151477612,0.799996637,0.6499972
1.2,49.8009077,-0.199092257,0.00765715666,0.502047559,0.749996205,2,0.00255405778,0.00510309888,0.337712303,0.164335256,0.799996011,0.649996592
1.22,49.7851151,-0.214884935,0.00944327483,0.528050202,0.749995553,2,0.00315703567,0.00628623916,0.351633361,0.176416841,0.79999536,0.649995938
1.24,49.7698448,-0.230155245,0.0113820057,0.552108242,0.749994871,2,0.00381390019,0.00756810552,0.364298374,0.187809868,0.799994686,0.649995243
1.26,49.7550721,-0.244927873,0.0134655115,0.574568997,0.749994162,2,0.00452237676,0.00894313477,0.375982311,0.198586685,0.799993989,0.649994507
1.28,49.7407759,-0.25922406,0.015686338,0.595690855,0.749993427,2,0.00528029645,0.0104060416,0.386883165,0.20880769,0.799993273,0.649993734
1.3,49.7269376,-0.273062445,0.0180373707,0.615667736,0.749992666,2,0.00608558269,0.011951788,0.397143972,0.218523764,0.799992537,0.649992924
1.32,49.7135403,-0.286459684,0.020511801,0.634646687,0.749991883,2,0.00693624111,0.0135755599,0.406868545,0.227778142,0.799991784,0.649992081
1.34,49.7005691,-0.299430892,0.0231030998,0.652740565,0.749991077,2,0.00783035167,0.0152727482,0.416132699,0.236607865,0.799991013,0.649991205
1.36,49.68801,-0.311989979,0.0258049966,0.670037181,0.74999025,2,0.0087660626,0.0170389341,0.424992273,0.245044908,0.799990226,0.649990297
1.38,49.6758501,-0.324149887,0.0286114621,0.686605917,0.749989402,2,0.00974158543,0.0188698767,0.433488845,0.253117072,0.799989424,0.649989359
1.4,49.6640772,-0.335922773,0.031516694,0.702502511,0.749988535,2,0.0107551911,0.0207615029,0.441653818,0.260848693,0.799988606,0.649988393
1.42,49.6526799,-0.347320143,0.0345151053,0.717772539,0.749987649,2,0.0118052067,0.0227098986,0.449511327,0.268261212,0.799987773,0.6499874
1.44,49.641647,-0.35835295,0.0376013139,0.732453945,0.749986745,2,0.0128900125,0.0247113014,0.457080311,0.275373634,0.799986927,0.64998638
1.46,49.6309683,-0.369031675,0.0407701334,0.746578893,0.749985823,2,0.0140080399,0.0267620935,0.464375994,0.282202899,0.799986067,0.649985335
1.48,49.6206336,-0.379366383,0.0440165652,0.760175125,0.749984884,2,0.0151577691,0.0288587961,0.471410931,0.288764194,0.799985194,0.649984265
1.5,49.6106332,-0.389366769,0.0473357915,0.773266962,0.74998393,2,0.0163377274,0.0309980641,0.478195756,0.295071205,0.799984308,0.649983172
1.52,49.6009578,-0.399042194,0.0507231678,0.785876044,0.74998296,2,0.0175464873,0.0331766805,0.484739715,0.301136329,0.799983411,0.649982057
1.54,49.5915983,-0.408401716,0.0541742177,0.798021887,0.749981974,2,0.0187826655,0.0353915522,0.491051039,0.306970848,0.799982501,0.64998092
1.56,49.5825459,-0.417454108,0.0576846266,0.809722295,0.749980975,2,0.0200449207,0.0376397059,0.497137212,0.312585083,0.799981581,0.649979762
1.58,49.5737921,-0.426207882,0.0612502362,0.820993675,0.749979961,2,0.0213319529,0.0399182833,0.503005161,0.317988514,0.799980649,0.649978585
1.6,49.5653287,-0.434671305,0.0648670398,0.831851277,0.749978934,2,0.0226425021,0.0422245377,0.508661388,0.323189889,0.799979707,0.649977388
1.62,49.5571476,-0.442852407,0.0685311771,0.842309377,0.749977894,2,0.0239753469,0.0445558302,0.514112062,0.328197315,0.799978755,0.649976172
1.64,49.549241,-0.450758997,0.0722389295,0.852381424,0.749976842,2,0.0253293034,0.0469096261,0.519363091,0.333018333,0.799977793,0.649974939
1.66,49.5416013,-0.458398674,0.0759867158,0.862080149,0.749975778,2,0.0267032244,0.0492834914,0.524420163,0.337659985,0.799976822,0.649973688
1.68,49.5342212,-0.465778831,0.079771088,0.871417654,0.749974702,2,0.028095998,0.05167509,0.529288781,0.342128874,0.799975842,0.649972421
1.7,49.5270933,-0.472906668,0.0835887268,0.88040549,0.749973615,2,0.0295065471,0.0540821797,0.533974285,0.346431205,0.799974853,0.649971138
1.72,49.5202108,-0.479789195,0.0874364379,0.889054708,0.749972517,2,0.0309338279,0.05650261,0.538481871,0.350572837,0.799973856,0.649969839
1.74,49.5135668,-0.486433242,0.0913111483,0.897375911,0.749971409,2,0.0323768294,0.0589343188,0.5428166,0.354559311,0.799972851,0.649968526
1.76,49.5071545,-0.492845462,0.095209902,0.905379293,0.749970292,2,0.0338345725,0.0613753295,0.546983407,0.358395886,0.799971838,0.649967199
1.78,49.5009677,-0.499032337,0.099129857,0.91307467,0.749969164,2,0.0353061087,0.0638237483,0.550987107,0.362087564,0.799970818,0.649965858
1.8,49.4949998,-0.505000185,0.103068282,0.920471514,0.749968028,2,0.0367905198,0.0662777617,0.554832399,0.365639115,0.79996979,0.649964504
1.82,49.4892448,-0.510755164,0.107022551,0.92757897,0.749966883,2,0.0382869171,0.0687356337,0.558523872,0.369055099,0.799968756,0.649963137
1.84,49.4836967,-0.516303274,0.110990143,0.934405883,0.749965729,2,0.0397944399,0.0711957036,0.562066003,0.37233988,0.799967715,0.649961758
1.86,49.4783496,-0.521650365,0.114968639,0.94096081,0.749964568,2,0.0413122556,0.0736563831,0.565463165,0.375497645,0.799966668,0.649960367
1.88,49.4731979,-0.526802139,0.118955713,0.947252041,0.749963398,2,0.0428395586,0.0761161544,0.568719624,0.378532417,0.799965615,0.649958965
1.9,49.4682358,-0.531764152,0.122949137,0.953287613,0.749962221,2,0.0443755694,0.0785735679,0.571839545,0.381448068,0.799964556,0.649957552
1.92,49.4634582,-0.536541824,0.126946774,0.959075317,0.749961037,2,0.0459195341,0.0810272396,0.57482699,0.384248327,0.799963491,0.649956129
1.94,49.4588596,-0.541140436,0.130946573,0.964622716,0.749959846,2,0.0474707239,0.0834758493,0.577685924,0.386936792,0.799962421,0.649954696
1.96,49.4544349,-0.545565134,0.134946572,0.96993715,0.749958649,2,0.049028434,0.0859181384,0.580420211,0.389516938,0.799961347,0.649953253
1.98,49.4501791,-0.549820936,0.138944891,0.975025747,0.749957445,2,0.0505919833,0.0883529079,0.583033623,0.391992124,0.799960267,0.649951802
2,49.4460873,-0.553912735,0.14293973,0.979895433,0.749956235,2,0.0521607135,0.0907790165,0.585529835,0.394365597,0.799959183,0.649950341
2.02,49.4421547,-0.557845297,0.146929367,0.984552937,0.74995502,2,0.0537339888,0.0931953784,0.587912431,0.396640505,0.799958094,0.649948872
2.04,49.4383767,-0.561623269,0.150912157,0.989004798,0.749953799,2,0.0553111949,0.0956009618,0.590184904,0.398819894,0.799957001,0.649947395
2.06,49.4347488,-0.565251179,0.154886526,0.993257376,0.749952573,2,0.056891739,0.0979947869,0.592350657,0.400906719,0.799955904,0.64994591
2.08,49.4312666,-0.568733442,0.158850973,0.997316851,0.749951341,2,0.0584750484,0.100375924,0.594413008,0.402903843,0.799954803,0.649944418
2.1,49.4279256,-0.572074358,0.162804064,1.00118923,0.749950105,2,0.0600605707,0.102743493,0.596375186,0.404814048,0.799953699,0.649942918
2.12,49.4247219,-0.575278118,0.166744432,1.00488037,0.749948865,2,0.0616477728,0.105096659,0.598240341,0.406640031,0.799952591,0.649941412
