time_s,frequency_hz,delta_frequency_hz,diesel_power_mw,storage_power_mw,storage_soc,power_deficit_mw
0,50,0,0,0,0.8,0
0.02,50,0,0,0,0.8,0
0.04,50,0,0,0,0.8,0
0.06,50,0,0,0,0.8,0
0.08,50,0,0,0,0.8,0
0.1,50,0,0,0,0.8,0
0.12,50,0,0,0,0.8,0
0.14,50,0,0,0,0.8,0
0.16,50,0,0,0,0.8,0
0.18,50,0,0,0,0.8,0
0.2,50,0,0,0,0.8,0
0.22,50,0,0,0,0.8,0
0.24,50,0,0,0,0.8,0
0.26,50,0,0,0,0.8,0
0.28,50,0,0,0,0.8,0
0.3,50,0,0,0,0.8,0
0.32,50,0,0,0,0.8,0
0.34,50,0,0,0,0.8,0
0.36,50,0,0,0,0.8,0
0.38,50,0,0,0,0.8,0
0.4,50,0,0,0,0.8,0
0.42,50,0,0,0,0.8,0
0.44,50,0,0,0,0.8,0
0.46,50,0,0,0,0.8,0
0.48,50,0,0,0,0.8,0
0.5,50,0,0,0,0.8,0
0.52,50,0,0,0,0.8,0
0.54,50,0,0,0,0.8,0
0.56,50,0,0,0,0.8,0
0.58,50,0,0,0,0.8,0
0.6,50,0,0,0,0.8,0
0.62,50,0,0,0,0.8,0
0.64,50,0,0,0,0.8,0
0.66,50,0,0,0,0.8,0
0.68,50,0,0,0,0.8,0
0.7,50,0,0,0,0.8,0
0.72,50,0,0,0,0.8,0
0.74,50,0,0,0,0.8,0
0.76,50,0,0,0,0.8,0
0.78,50,0,0,0,0.8,0
0.8,50,0,0,0,0.8,0
0.82,50,0,0,0,0.8,0
0.84,50,0,0,0,0.8,0
0.86,50,0,0,0,0.8,0
0.88,50,0,0,0,0.8,0
0.9,50,0,0,0,0.8,0
0.92,50,0,0,0,0.8,0
0.94,50,0,0,0,0.8,0
0.96,50,0,0,0,0.8,0
0.98,50,0,0,0,0.8,0
1,50,0,0,0,0.8,2
1.02,49.975,-0.025,0,0,0.8,2
1.04,49.9516188,-0.04838125,0,0.1045,0.799999855,2
1.06,49.9295833,-0.0704166541,0.00014705,0.188639375,0.799999593,2
1.08,49.9086841,-0.0913158581,0.000468912732,0.257178112,0.799999236,2
1.1,49.8887592,-0.1112408,0.00095475047,0.313734063,0.7999988,2
1.12,49.8696829,-0.13031711,0.00159512936,0.361059257,0.799998298,2
1.14,49.8513572,-0.148642777,0.00238171495,0.401247779,0.799997741,2
1.16,49.8337053,-0.166294733,0.00330704002,0.435893726,0.799997136,2
1.18,49.8166661,-0.183333854,0.00436432748,0.466211224,0.799996488,2
1.2,49.8001912,-0.199808769,0.00554735504,0.493125621,0.799995803,2
1.22,49.7842413,-0.215758745,0.00685035164,0.517342786,0.799995085,2
1.24,49.7687841,-0.23121589,0.00826791809,0.539401757,0.799994336,2
1.26,49.7537932,-0.24620682,0.00979496603,0.559714752,0.799993558,2
1.28,49.7392461,-0.260753932,0.0114266709,0.578597567,0.799992755,2
1.3,49.7251236,-0.274876369,0.0131584357,0.59629268,0.799991926,2
1.32,49.7114092,-0.288590756,0.0149858623,0.612986802,0.799991075,2
1.34,49.6980882,-0.301911759,0.0169047297,0.628824217,0.799990202,2
1.36,49.6851475,-0.314852514,0.0189109765,0.643916916,0.799989307,2
1.38,49.6725751,-0.327424945,0.0210006868,0.658352304,0.799988393,2
1.4,49.66036,-0.339640019,0.0231700795,0.672199052,0.799987459,2
1.42,49.6484921,-0.351507931,0.0254154989,0.685511543,0.799986507,2
1.44,49.6369618,-0.363038248,0.0277334073,0.698333261,0.799985537,2
1.46,49.62576,-0.374240023,0.0301203792,0.710699353,0.79998455,2
1.48,49.6148781,-0.385121877,0.0325730956,0.722638591,0.799983547,2
1.5,49.6043079,-0.395692064,0.0350883397,0.73417485,0.799982527,2
1.52,49.5940415,-0.405958522,0.0376629928,0.745328246,0.799981492,2
1.54,49.5840711,-0.415928916,0.040294031,0.756115988,0.799980442,2
1.56,49.5743893,-0.42561066,0.0429785221,0.766553038,0.799979377,2
1.58,49.5649891,-0.435010949,0.0457136221,0.776652605,0.799978298,2
1.6,49.5558632,-0.444136773,0.0484965735,0.786426524,0.799977206,2
1.62,49.5470051,-0.452994935,0.0513247019,0.795885549,0.799976101,2
1.64,49.5384079,-0.461592061,0.0541954144,0.805039568,0.799974983,2
1.66,49.5300654,-0.469934611,0.0571061967,0.813897777,0.799973852,2
1.68,49.5219711,-0.478028886,0.0600546117,0.822468803,0.79997271,2
1.7,49.514119,-0.485881036,0.0630382966,0.830760807,0.799971556,2
1.72,49.5065029,-0.493497066,0.066054962,0.838781557,0.799970391,2
1.74,49.4991172,-0.500882842,0.0691023889,0.846538488,0.799969215,2
1.76,49.4919559,-0.508044092,0.0721784277,0.854038746,0.799968029,2
1.78,49.4850136,-0.514986413,0.0752809962,0.861289223,0.799966833,2
1.8,49.4782847,-0.521715274,0.0784080775,0.868296587,0.799965627,2
1.82,49.471764,-0.528236021,0.0815577189,0.875067298,0.799964412,2
1.84,49.4654461,-0.534553875,0.0847280299,0.88160763,0.799963187,2
1.86,49.4593261,-0.540673941,0.0879171806,0.887923682,0.799961954,2
1.88,49.4533988,-0.546601206,0.0911234003,0.894021391,0.799960712,2
1.9,49.4476595,-0.552340547,0.094344976,0.899906538,0.799959462,2
1.92,49.4421033,-0.557896728,0.0975802506,0.905584759,0.799958204,2
1.94,49.4367256,-0.563274404,0.100827622,0.911061548,0.799956939,2
1.96,49.4315219,-0.568478127,0.104085541,0.916342264,0.799955666,2
1.98,49.4264877,-0.573512342,0.107352511,0.921432139,0.799954387,2
2,49.4216186,-0.578381396,0.110627084,0.926336275,0.7999531,2
2.02,49.4169105,-0.583089534,0.113907864,0.931059654,0.799951807,2
2.04,49.4123591,-0.587640907,0.117193502,0.935607137,0.799950508,2
2.06,49.4079604,-0.592039569,0.120482694,0.939983473,0.799949202,2
2.08,49.4037105,-0.59628948,0.123774184,0.944193296,0.799947891,2
2.1,49.3996055,-0.600394513,0.127066758,0.948241128,0.799946574,2
2.12,49.3956416,-0.604358449,0.130359246,0.952131388,0.799945251,2
2.14,49.391815,-0.608184982,0.133650522,0.955868388,0.799943924,2
2.16,49.3881223,-0.611877722,0.136939496,0.959456337,0.799942591,2
2.18,49.3845598,-0.615440195,0.140225123,0.962899345,0.799941254,2
2.2,49.3811242,-0.618875844,0.143506393,0.966201425,0.799939912,2
2.22,49.377812,-0.622188036,0.146782336,0.969366493,0.799938565,2
2.24,49.3746199,-0.625380056,0.150052017,0.972398371,0.799937215,2
2.26,49.3715449,-0.628455113,0.153314537,0.975300793,0.79993586,2
2.28,49.3685837,-0.631416344,0.156569033,0.978077399,0.799934502,2
2.3,49.3657332,-0.634266809,0.159814673,0.980731745,0.79993314,2
2.32,49.3629905,-0.6370095,0.163050661,0.983267301,0.799931774,2
2.34,49.3603527,-0.639647335,0.16627623,0.985687452,0.799930405,2
2.36,49.3578168,-0.642183166,0.169490647,0.987995503,0.799929033,2
